# G4Jy_name NED_name                      ncmp_GLEAM centroid_RAJ2000 err_centroid_RAJ2000 centroid_DEJ2000 err_centroid_DEJ2000 centroid_flag morphology ncmp_NVSSorSUMSS confusion_flag angular_size_limit angular_size S_NVSSorSUMSS err_S_NVSSorSUMSS Freq   G4Jy_NVSS_alpha err_G4Jy_NVSS_alpha G4Jy_SUMSS_alpha err_G4Jy_SUMSS_alpha S_1400  err_S_1400 alpha_mid    err_alpha_mid G4Jy_alpha   err_G4Jy_alpha reduced_chi2_G4Jy_alpha total_int_flux_076 err_total_int_flux_076 total_int_flux_084 err_total_int_flux_084 total_int_flux_092 err_total_int_flux_092 total_int_flux_099 err_total_int_flux_099 total_int_flux_107 err_total_int_flux_107 total_int_flux_115 err_total_int_flux_115 total_int_flux_122 err_total_int_flux_122 total_int_flux_130 err_total_int_flux_130 total_int_flux_143 err_total_int_flux_143 total_int_flux_151 err_total_int_flux_151 total_int_flux_158 err_total_int_flux_158 total_int_flux_166 err_total_int_flux_166 total_int_flux_174 err_total_int_flux_174 total_int_flux_181 err_total_int_flux_181 total_int_flux_189 err_total_int_flux_189 total_int_flux_197 err_total_int_flux_197 total_int_flux_204 err_total_int_flux_204 total_int_flux_212 err_total_int_flux_212 total_int_flux_220 err_total_int_flux_220 total_int_flux_227 err_total_int_flux_227 host_flag host_name                              host_RAJ2000 host_DEJ2000 W1mag  err_W1mag W2mag  err_W2mag W3mag  err_W3mag W4mag  err_W4mag eeMaj_allwise eeMin_allwise eePA_allwise Jmag_allwise err_Jmag_allwise Hmag_allwise err_Hmag_allwise Kmag_allwise err_Kmag_allwise ra_LSDR10          dec_LSDR10           mag_g_LSDR10 mag_r_LSDR10 mag_i_LSDR10 mag_z_LSDR10 dered_mag_g_LSDR10 dered_mag_r_LSDR10 dered_mag_i_LSDR10 dered_mag_z_LSDR10 snr_g_LSDR10 snr_r_LSDR10 snr_i_LSDR10 snr_z_LSDR10 psfsize_g_LSDR10 psfsize_r_LSDR10 psfsize_i_LSDR10 psfsize_z_LSDR10 morphtype_LSDR10 sersic_LSDR10 L_151_WperHz err_L_151_WperHz      L_1400_WperHz err_L_1400_WperHz linear_size_limit linear_size_kpc z_origin_flag z_Quality_flag zsp_misc             zsp_DESI zsp_WARN_DESI zph_misc             zph_LSDR8south err_zph_LSDR8south zph_fclean_LSDR8south zph_fqual_LSDR8south zph_ANN_wiseScos ebv_wiseScos NED_RAJ2000 NED_DEJ2000   NED_type z_NED    z_ref_NED          
  "G4Jy 1"  "WISEA J000057.57-105432.1"   1          0.24021          0.44                 -10.90894        0.6                  0             single     1                0              <                  16.6         0.397         0.012             1400.0 -1.1303021      0.013810485         ""               ""                   0.397   0.012      -1.1303021   0.01381       -1.0649704   0.014545646    1.1755618               9.862482           0.091596834            8.910204           0.07391478             8.168339           0.062325902            7.4882874          0.05405216             7.0241985          0.04632526             6.5571856          0.040951114            6.2404585          0.034714956            5.6818724          0.032943387            5.173233           0.03175878             4.9199805          0.028482696            4.7028112          0.027679458            4.5143747          0.026846172            4.305751           0.025166607            4.064266           0.02363451             3.8870342          0.023546167            3.7319374          0.02079989             3.4235463          0.02443681             3.2888868          0.022191208            3.1863236          0.022014627            2.9917715          0.023873061            i         "WISEA J000057.57-105432.1"            0.2398964    -10.908928   16.966 0.134     16.865 0.415     11.89  ""        8.487  ""        0.4257        0.3884        139.6        ""           ""               ""           ""               ""           ""               ""                 ""                   ""           ""           ""           ""           ""                 ""                 ""                 ""                 ""           ""           ""           ""           ""               ""               ""               ""               ""               ""            ""           ""                    ""            ""                " "               ""              ""            ""             ""                   ""       ""            ""                   ""             ""                 ""                    ""                   ""               ""           0.23989584  -10.908928    IrS      ""       ""                 
  "G4Jy 2"  "PKS 2358-172"                1          0.27283          0.43                 -16.99025        0.6                  0             single     1                0              <                  39.8         0.73          0.024             1400.0 -0.86230797     0.014970876         ""               ""                   0.73    0.024      -0.86230797  0.014971      -0.8821084   0.014610863    0.3047507               9.027017           0.095208086            8.25505            0.07630762             7.586171           0.062129073            7.1289845          0.0603614              6.7200446          0.045003213            6.2288175          0.037057266            5.855089           0.033951733            5.5977874          0.03092332             5.2373276          0.031196192            4.980868           0.028239205            4.764403           0.025859367            4.619606           0.025689168            4.395832           0.023290949            4.227126           0.021590544            4.0572567          0.020687465            3.9378953          0.020184005            3.7597883          0.025194895            3.5999436          0.023978056            3.54914            0.022747267            3.3430216          0.022807194            i         "WISEA J000105.50-165925.8"            0.2729427    -16.990522   16.297 0.067     15.394 0.119     11.903 ""        8.666  ""        0.1931        0.1766        141.3        ""           ""               ""           ""               ""           ""               ""                 ""                   ""           ""           ""           ""           ""                 ""                 ""                 ""                 ""           ""           ""           ""           ""               ""               ""               ""               ""               ""            ""           ""                    ""            ""                " "               ""              ""            ""             ""                   ""       ""            ""                   ""             ""                 ""                    ""                   ""               ""           0.27294168  -16.990522    RadioS   ""       ""                 
  "G4Jy 3"  "ESO 349- G 022"              1          0.80309          0.52                 -35.938937       0.63                 0             triple     3                0              ""                 115.728      0.614         0.018             1400.0 -1.1050587      0.013296341         ""               ""                   0.614   0.018      -1.1050587   0.013296      -1.1255805   0.014060387    0.2689191               15.255491          0.08690004             13.719873          0.06815525             12.628767          0.06410932             11.369778          0.057485085            10.574518          0.045155313            9.861867           0.03754609             9.16004            0.035795797            8.592302           0.03442529             7.6841893          0.033172723            7.1932826          0.030966349            6.7842555          0.025799844            6.4491024          0.026745822            6.063656           0.026263794            5.7703085          0.02347805             5.503274           0.022053216            5.315031           0.023728773            5.0119705          0.028655075            4.872968           0.028315237            4.6554275          0.02756935             4.5957193          0.029760608            i         "WISEA J000312.96-355613.5"            0.8040359    -35.9371     11.749 0.023     11.793 0.022     10.811 0.077     9.166  ""        0.0407        0.0385        74.3         13.937       0.069            13.282       0.071            12.756       0.065            0.804048041355136  -35.93710187651519   ""           ""           ""           ""           ""                 ""                 ""                 ""                 ""           ""           ""           ""           ""               ""               ""               ""               ""               ""            4.23047E25   2.111189E23           3.607425E24   1.081519E23       ""                112.5415        6.0           1.0            0.049726665          ""       ""            0.10599999874830246  0.106          0.03               0                     0                    ""               ""           0.80403584  -35.9371      G        0.048984 1987MNRAS.224..453C
  "G4Jy 4"  "[HB89] 0000-177"             1          0.84167          0.43                 -17.45317        0.6                  0             single     1                1              <                  15.6         2.415         0.072             1400.0 -0.6676968      0.013428972         ""               ""                   2.415   0.072      -0.6676968   0.013429      -0.67520624  0.013847869    0.2272628               16.885868          0.09636091             15.943385          0.074809425            14.724342          0.062396333            14.270577          0.056555107            13.604416          0.04514103             12.805804          0.039102953            12.199226          0.03537638             11.680496          0.034633566            11.183951          0.031828616            10.682694          0.027663216            10.429708          0.026396748            10.065872          0.025647925            9.7697115          0.023107558            9.535517           0.02162249             9.250107           0.020880375            9.006058           0.02031744             8.717664           0.023973374            8.421056           0.023463774            8.2583             0.021412052            7.9196935          0.022765443            i         "WISEA J000322.14-172714.1"            0.8422805    -17.45394    14.001 0.028     13.763 0.036     11.558 0.215     8.332  0.274     0.0581        0.0572        124.2        14.876       0.044            14.312       0.05             14.333       0.08             ""                 ""                   ""           ""           ""           ""           ""                 ""                 ""                 ""                 ""           ""           ""           ""           ""               ""               ""               ""               ""               ""            7.500852E26  3.523192E24           1.693762E26   5.40528E24        <                 43.8472         7.0           5.0            ""                   ""       ""            0.16373999           ""             ""                 ""                    ""                   0.16373999       0.025        0.8422792   -17.453941    QSO      1.465    1978MNRAS.185..149H
  "G4Jy 5"  "WISEA J000341.07+130635.4"   1          0.921            0.44                 13.11061         0.6                  0             single     1                1              <                  18.1         0.991         0.03              1400.0 -0.93582106     0.013719233         ""               ""                   0.991   0.03       -0.93582106  0.013719      -1.0280923   0.014463781    1.2695985               15.206241          0.12090667             14.1018            0.0990479              12.760365          0.084387526            11.711046          0.08598876             11.10887           0.060642183            10.381319          0.049880672            9.758727           0.043994218            9.175481           0.043550484            8.411829           0.037360713            7.964418           0.034043994            7.498096           0.032831185            7.2360888          0.03072523             6.927196           0.050357893            6.6131973          0.048536316            6.1079803          0.05036959             5.608972           0.0639952              5.5668945          0.036897972            5.3486056          0.036933277            5.1833644          0.03632977             5.006605           0.036706954            i         "WISEA J000341.07+130635.4"            0.9211425    13.109839    15.353 0.042     14.122 0.043     10.424 0.086     7.841  0.237     0.0891        0.0844        138.6        ""           ""               ""           ""               ""           ""               0.921201956304227  13.10995735852309    22.862259    22.121674    Infinity     20.895555    22.46439           21.853662          Infinity           20.745642          23.827389    24.94044     0.0          32.66843     1.6077393        1.193448         0.0              1.3271047        EXP              1.0           2.776649E28  3.663714E26           3.26543E27    1.271904E26       <                 138.2615        8.0           5.0            ""                   ""       ""            0.8429999947547913   0.843          0.19               1                     1                    ""               ""           0.9211417   13.1098385    UvS      ""       ""                 
  "G4Jy 6"  "PKS 0001-312"                1          0.97954          0.51                 -30.99792        0.6                  0             single     1                0              ""                 15.0         0.875         0.031             1400.0 -0.73858345     0.016099999         ""               ""                   0.875   0.031      -0.73858345  0.0161        -0.79960835  0.014489905    0.40209934              7.643842           0.0797033              7.360929           0.060441505            6.8039384          0.05294082             6.230992           0.04831096             6.0890417          0.04104889             5.70049            0.034092296            5.478873           0.031074187            5.236788           0.028998768            4.8064003          0.028389344            4.532417           0.025663435            4.3681626          0.022818185            4.18962            0.021818671            4.079399           0.019317819            3.8743265          0.017346805            3.793839           0.016217103            3.7240837          0.01648074             3.561247           0.020460287            3.4469528          0.019475885            3.3635535          0.01905762             3.2919116          0.0197564              i         "CWISE J000355.09-305952.7"            0.9795768    -30.99799    ""     ""        ""     ""        ""     ""        ""     ""        ""            ""            ""           ""           ""               ""           ""               ""           ""               0.9794435166386517 -30.99799978615714   22.607697    Infinity     Infinity     22.235563    22.555273          Infinity           Infinity           22.21581           12.8652      0.0          0.0          17.87351     1.3546817        0.0              0.0              1.2370032        EXP              1.0           ""           ""                    ""            ""                " "               ""              ""            ""             ""                   ""       ""            ""                   ""             ""                 ""                    ""                   ""               ""           0.97954166  -30.997917    RadioS   ""       ""                 
  "G4Jy 7"  "4C +12.02"                   2          1.209512         0.44                 12.812605        0.6                  0             double     4                0              ""                 251.89       2.12          0.042             1400.0 -0.70391625     0.009185275         ""               ""                   2.12    0.042      -0.70391625  0.009185      -0.8534196   0.014883175    0.97263247              18.171429          0.18998015             16.835587          0.15330006             14.972711          0.13328624             13.977097          0.1344299              13.389254          0.093455836            12.593752          0.07582868             12.06471           0.06862422             11.383467          0.06797489             10.585789          0.055788312            10.165512          0.0523221              9.77909            0.047879357            9.45175            0.047536552            9.218666           0.07359474             8.830538           0.073579274            8.357483           0.07599944             7.5338917          0.095615               7.637874           0.058554724            7.5024576          0.05666924             7.255847           0.05741826             6.9794464          0.059086427            i         "WISEA J000450.26+124839.6"            1.2094258    12.811016    13.552 0.026     12.455 0.025     8.695  0.028     5.486  0.039     0.0421        0.0416        180.0        16.041       0.12             15.31        0.127            14.626       0.103            1.209466923568868  12.81101609357524    18.120695    17.074446    Infinity     16.310284    17.740993          16.818672          Infinity           16.167217          501.77936    619.0889     0.0          771.4376     1.7552034        1.2910682        0.0              1.5432947        SER              4.6800675     1.175541E27  9.305231E24           2.384759E26   5.137731E24       ""                840.884         8.0           5.0            ""                   ""       ""            0.2029999941587448   0.203          0.034              1                     1                    ""               ""           1.2094258   12.811016     G        0.143    2020A&A...642A.153D
  "G4Jy 8"  "WISEA J000540.73+195021.5"   1          1.41976          0.42                 19.839685        0.6                  0             double     2                1              ""                 71.306       0.765         0.019             1400.0 -0.7630257      0.011987706         ""               ""                   0.765   0.019      -0.7630257   0.011988      -0.91700417  0.022738447    0.6334819               7.7645774          0.13073027             7.416043           0.10551106             6.5530267          0.087716974            6.0396876          0.08171477             5.778927           0.071234725            5.371091           0.06262927             5.02435            0.058804315            4.8609266          0.05382218             4.35236            0.046771754            4.184298           0.041165248            4.065443           0.03921044             3.8928883          0.039849237            3.7545063          0.066896975            3.518876           0.067062415            3.480724           0.063137904            2.8947346          0.12880379             3.293492           0.037207402            3.1392064          0.031675562            2.8735688          0.031656377            2.8601449          0.032926057            i         "WISEA J000540.73+195021.5"            1.4197279    19.83932     14.136 0.027     13.056 0.03      10.442 0.083     8.843  0.466     0.0533        0.0524        115.9        ""           ""               ""           ""               ""           ""               1.419747515074627  19.83929144183152    21.838306    20.359968    Infinity     18.92896     21.734581          20.290096          Infinity           18.889877          28.42135     71.65564     0.0          94.26468     1.9104835        1.872922         0.0              1.3684719        DEV              4.0           8.221523E27  1.798584E26           1.387201E27   4.336314E25       ""                504.7994        8.0           5.0            ""                   ""       ""            0.6840000152587891   0.684          0.068              1                     1                    ""               ""           1.4197291   19.83932      IrS      ""       ""                 
  "G4Jy 9"  "PKS 0003-56"                 1          1.49021          1.5                  -56.47542        1.7                  0             single     1                0              ""                 57.1         2.763         0.083             843.0  ""              ""                  -0.7198287       0.017533198          2.101   0.1413     -0.6788668   0.030214      -0.79383147  0.013913506    0.62463623              15.790612          0.105111524            14.785308          0.075023144            13.8657055         0.064950615            12.666221          0.062019944            12.390776          0.043050747            11.865369          0.037271876            11.138224          0.032976493            10.744712          0.030919053            9.969627           0.030814983            9.527641           0.026887294            9.010299           0.022759391            8.6676445          0.02439044             8.464768           0.023943476            8.044941           0.024925647            7.8198557          0.023872731            7.695211           0.0248771              7.276192           0.021674478            7.0518165          0.018884856            6.7816787          0.017938022            6.6955175          0.018000871            i         "WISEA J000557.94-562831.0"            1.4914452    -56.4753     13.888 0.025     13.561 0.03      11.962 0.273     8.486  ""        0.0508        0.05          77.7         16.343       0.158            15.493       0.188            14.781       0.122            1.491361150872304  -56.47533820865902   18.377111    16.903824    16.386793    16.092787    18.342104          16.880241          16.369452          16.079596          536.82965    1232.6284    1319.4358    879.1196     1.3799053        1.0936546        1.0151794        1.0915892        SER              5.3008156     2.4307E27    1.553722E25           5.204895E26   3.931781E25       ""                249.0065        3.0           1.0            0.291                ""       ""            0.27900001406669617  0.279          0.027              1                     1                    0.269903         0.011        1.491445    -56.4753      G        0.2912   20032dF...C...0000C
  "G4Jy 10" "PG 0003+158"                 1          1.49754          0.43                 16.16297         0.6                  0             single     1                1              <                  30.8         0.804         0.027             1400.0 -0.76874375     0.015517874         ""               ""                   0.804   0.027      -0.76874375  0.015518      -0.96530414  0.015787931    1.0424067               8.356494           0.11502304             7.718963           0.09632198             7.1673245          0.07842692             6.46189            0.07322315             6.2635145          0.062657714            5.8307896          0.054909986            5.543446           0.051464412            5.1447425          0.047234174            4.648345           0.042475063            4.4539714          0.036751263            4.248316           0.034464695            4.1389155          0.033097442            3.991989           0.06031943             3.8422022          0.054851998            3.450472           0.05253149             3.1988368          0.071266554            3.366993           0.032002356            3.1204596          0.028716994            3.049673           0.026584478            2.9409657          0.027564095            i         "WISEA J000559.23+160949.0"            1.4968193    16.163628    12.251 0.023     11.179 0.019     8.56   0.026     6.196  0.054     0.035         0.0333        77.9         14.728       0.038            14.202       0.037            13.534       0.046            1.496824059923231  16.16361713840144    15.547853    15.584634    Infinity     15.166124    15.390138          15.478394          Infinity           15.106699          3153.2175    2114.7122    0.0          2950.1655    1.9089897        1.2488006        0.0              1.848304         PSF              0.0           1.916878E27  2.517693E25           3.258219E26   1.254477E25       <                 154.3831        8.0           5.0            ""                   ""       ""            0.3580000102519989   0.358          0.292              0                     0                    ""               ""           1.496825    16.163616     QSO      0.4509   1984ApJS...55..533H
